0	2022-10-21 07:08:49+00:00	uytrienviro	Dirty tube lights and bulbs reflect less light and can absorb 50 percent of the light; dust your tube lights and lamps regularly.  #EnergySavingWeek #EnergyKnowHow #SaveThePlanet #SaveMoney #sustainability #energytips #saveenergy #energy #Temperatures #electricity #light #lamps	Negative	0	1
1	2022-10-18 18:03:15+00:00	indigo_swan	#TuesdayTip   Drop the dress code 🕴  #️energysavingtips #energytips #tiptuesday	Negative	1	0
2	2022-10-07 06:38:47+00:00	CommodityKites	07/10/22 Gold Price News By Kites Commodity Join Fast http Call 9045769638, 9997679119 #silver #financialmarkets #basemetalstips #coppercalls #stocktip #commoditycalls #interdaytips #naturalgastips #crudeoiltips #goldtips #energytips #bulliontips #coppertips	Negative	0	0
3	2022-10-05 09:05:34+00:00	MacKayUSA	"Portland greenlights Zenith Energy plan to phase out crude oil #USEnergy #SolarPower #if ""SolarPower"" #or ""Solar"" #EnergyLife #WindPower #if ""wind #power"" #EnergyTips #if ""Tip"" [Video]"	Negative	0	0
4	2022-09-26 07:08:36+00:00	CommodityKites	26/09/22 Today CRUDE OIL U By Kites Commodity and Get Perfect Crude Oil Tips Join Fast http #commoditytrading #gold #financialmarkets #basemetalstips #coppercalls #stocktip #commoditycalls #interdaytips #naturalgastips #crudeoiltips #goldtips #energytips	Negative	0	0
5	2022-09-23 05:27:25+00:00	CommodityKites	23 Sep 2022 Live GOLD News Update By and Get Premium Bullion Tips  Call 9045769638, 9997679119 #commoditycalls #interdaytips #naturalgastips #crudeoiltips #goldtips #energytips #bulliontips #coppertips #stockmarket #freemcxtips  #commoditytrading	Negative	0	0
6	2022-09-22 23:00:27+00:00	Firelands	It's the first day of fall! 🍂🍁🍂🍁 Get ready for cooler weather with these #energytips:	Negative	0	0
7	2022-09-21 15:14:07+00:00	HugeHeatingOhio	If windows aren’t sealed properly, the hot air from outside can make its way indoors. This will raise your energy bills because it makes it difficult for your air conditioner to maintain the temperature. #EnergyTips #EnergySavings	Negative	0	0
8	2022-09-13 13:00:35+00:00	Lancashare1	Is it cheaper to boil water for tea with a gas hob or an electric kettle?  One of our readers who is struggling with their energy bills recently asked us if it was cheaper to...  http  #lancashirebusiness #energytips #energybills #advice @GbShared	Negative	0	0
9	2022-09-12 04:43:51+00:00	CommodityKites	12 Sep 2022 Breaking GOLD News By  Call 9045769638, 9997679119 #BaseMetaltips #coppercalls #stocktip #commoditycalls #interdaytips #naturalgastips #crudeoiltips #goldtips #energytips #bulliontips #coppertips #mcxmarket #stockmarketinvesting #mcxcalls	Negative	2	0
10	2022-09-09 09:43:49+00:00	TheresaTINI	Some new steps I've brought in to lower energy use....  🍽️dishwasher: Rinse cycle  Scrub filter Simple wash cycle   🧺Laundry Quick wash 30° Pause at 5 mins when water &amp; powder are in Let them soak Continue the wash at 11pm  💻gaming ban until 7pm #energytips	Negative	9	0
